user,text,refined
zoha_hamid,b'@ponguru giving a talk about #selfie deaths and #DataScience for Social Good at PyData Delhi Conf 17 @IIITDelhi to\xe2\x80\xa6 https://t.co/8TvXcSED48',give talk selfi death datasci social good pydata delhi conf to…
rohan_iitj,"b""Advice on PhD, interesting but found towards end of my work, anyway it's informative https://t.co/w6HqLi76rB""",advic phd interest found toward end work anyway inform
JaneYakowitz,b'I highly recommend this fellowship program to privacy scholars: https://t.co/jL38jFm874',I highli recommend fellowship program privaci scholar
SameerSh29,b'A day to remember for Indian sport as two inspirational Indians - @Pvsindhu1 &amp; @NSaina - are on the #2017BWC podium. Well done both of you!',A day rememb indian sport two inspir indian amp podium well done
niharikakohli29,"b'@rishabhk_ Good to see you being more active here lately, sir! (ex IGIT/IGDTU alumni here)'",good see activ late sir ex igit/igdtu alumnus
ponguru,b'Our full paper on #Visual #hashtags #Summarization #SocialMedia accepted  @TheOfficialACM @acmmm17 Paper:\xe2\x80\xa6 https://t.co/OIhAtU66z9',our full paper visual hashtag summar socialmedia accept
ponguru,b'#lifeatiiitd #independence #delhi #iiitdelhi #students #india #independenceday \\c @IIITDelhi https://t.co/nt8sMwJj2G',lifeatiiitd independ delhi iiitdelhi student india independenceday
VasuGhs,"b'""Being secure is our fundamental right ... over social platforms too"" - @rishabhk_ exploring #FakeNews #PSOSM #OSN https://t.co/q3bSBFYAMj'",be secur fundament right social platform explor fakenew psosm osn
PrivacyMatters,b'Research suggests people in India do care about privacy https://t.co/HRvwAiD5Q4 + https://t.co/cY0ANSqNDP + https://t.co/NfA8I65j9h',research suggest peopl india care privaci
ponguru,"b'Starting 9th year @IIITDelhi Most fulfilling and humbling years. Thanks to all students, faculty, collaborators, an\xe2\x80\xa6 https://t.co/kOtD1Hq3Ti'",start year most fulfil humbl year thank student faculti collabor an…
ponguru,b'Ph.D. thesis document of my student @niharikasachdev https://t.co/JAxsjdJYWP and slides https://t.co/QXdbytMGBu\xe2\x80\xa6 https://t.co/kQ66L28ZVU',phd thesi document student slide
prateekdewan,b'#asonam2017 #kickstart https://t.co/A82b6mF59R',asonam2017 kickstart
SocMediaConf,"b'Morning Sessions! #SMSociety brings you discussion on Opinion Mining, Rumors, Business Ops, &amp; the Public Sector. https://t.co/14aWGlJPD5'",morn session smsocieti bring discus opinion mine rumor busi op amp public sector
ponguru,"b""Will @facebook live @precog_iiitd's #3 Ph.D. thesis defense at 1530hrs IST today! #SocialMedia #Policing #Citizens\xe2\x80\xa6 https://t.co/kqnBGaNMMz""",will live phd thesi defens ist today socialmedia polic citizens…
_DigitalIndia,b'Doctoral Colloquium 2017 on #DigitalGovernment Research \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\x8f \xe0\xa4\x86\xe0\xa4\xb5\xe0\xa5\x87\xe0\xa4\xa6\xe0\xa4\xa8 \xe0\xa4\xb6\xe0\xa5\x81\xe0\xa4\xb0\xe0\xa5\x82 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\x9c\xe0\xa4\xbe \xe0\xa4\x9a\xe0\xa5\x81\xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82\xe0\xa5\xa4 \xe0\xa4\x85\xe0\xa4\xa7\xe0\xa4\xbf\xe0\xa4\x95 \xe0\xa4\x9c\xe0\xa4\xbe\xe0\xa4\xa8\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\x8f:\xe2\x80\xa6 https://t.co/7ZsKav9T2g',doctor colloquium digitalgovern research
ponguru,b'Our paper Nudging Nemo: Helping Users #Control #Linkability across #socialnetworks @socinformatics\xe2\x80\xa6 https://t.co/V2tlmI4y24',our paper nudg nemo help user control linkabl across socialnetwork
